x,y,t
1.4000000000,-1.7500000000,0.0000910600
1.4000000000,-1.7000000000,0.0000926651
1.4000000000,-1.6500000000,0.0000943079
1.4000000000,-1.6000000000,0.0000959882
1.4000000000,-1.5500000000,0.0000977055
1.4000000000,-1.5000000000,0.0000994594
1.4000000000,-1.4500000000,0.0001012488
1.4000000000,-1.4000000000,0.0001030727
1.4000000000,-1.3500000000,0.0001049294
1.4000000000,-1.3000000000,0.0001068170
1.4000000000,-1.2500000000,0.0001087330
1.4000000000,-1.2000000000,0.0001106745
1.4000000000,-1.1500000000,0.0001126380
1.4000000000,-1.1000000000,0.0001146194
1.4000000000,-1.0500000000,0.0001166138
1.4000000000,-1.0000000000,0.0001186158
1.4000000000,-0.9500000000,0.0001206191
1.4000000000,-0.9000000000,0.0001226167
1.4000000000,-0.8500000000,0.0001246007
1.4000000000,-0.8000000000,0.0001265623
1.4000000000,-0.7500000000,0.0001284921
1.4000000000,-0.7000000000,0.0001303796
1.4000000000,-0.6500000000,0.0001322140
1.4000000000,-0.6000000000,0.0001339834
1.4000000000,-0.5500000000,0.0001356756
1.4000000000,-0.5000000000,0.0001372780
1.4000000000,-0.4500000000,0.0001387778
1.4000000000,-0.4000000000,0.0001401623
1.4000000000,-0.3500000000,0.0001414189
1.4000000000,-0.3000000000,0.0001425358
1.4000000000,-0.2500000000,0.0001435019
1.4000000000,-0.2000000000,0.0001443071
1.4000000000,-0.1500000000,0.0001449428
1.4000000000,-0.1000000000,0.0001454020
1.4000000000,-0.0500000000,0.0001456797
1.4000000000,-0.0000000000,0.0001457726
1.4500000000,-3.0000000000,0.0000634342
1.4500000000,-2.9500000000,0.0000643015
1.4500000000,-2.9000000000,0.0000651899
1.4500000000,-2.8500000000,0.0000661000
1.4500000000,-2.8000000000,0.0000670325
1.4500000000,-2.7500000000,0.0000679880
1.4500000000,-2.7000000000,0.0000689671
1.4500000000,-2.6500000000,0.0000699707
1.4500000000,-2.6000000000,0.0000709993
1.4500000000,-2.5500000000,0.0000720537
1.4500000000,-2.5000000000,0.0000731347
1.4500000000,-2.4500000000,0.0000742429
1.4500000000,-2.4000000000,0.0000753791
1.4500000000,-2.3500000000,0.0000765440
1.4500000000,-2.3000000000,0.0000777383
1.4500000000,-2.2500000000,0.0000789628
1.4500000000,-2.2000000000,0.0000802181
1.4500000000,-2.1500000000,0.0000815049
1.4500000000,-2.1000000000,0.0000828239
1.4500000000,-2.0500000000,0.0000841757
1.4500000000,-2.0000000000,0.0000855609
1.4500000000,-1.9500000000,0.0000869799
1.4500000000,-1.9000000000,0.0000884333
1.4500000000,-1.8500000000,0.0000899213
1.4500000000,-1.8000000000,0.0000914442
1.4500000000,-1.7500000000,0.0000930022
1.4500000000,-1.7000000000,0.0000945952
1.4500000000,-1.6500000000,0.0000962231
1.4500000000,-1.6000000000,0.0000978855
1.4500000000,-1.5500000000,0.0000995819
1.4500000000,-1.5000000000,0.0001013114
1.4500000000,-1.4500000000,0.0001030730
1.4500000000,-1.4000000000,0.0001048651
1.4500000000,-1.3500000000,0.0001066861
1.4500000000,-1.3000000000,0.0001085338
1.4500000000,-1.2500000000,0.0001104056
1.4500000000,-1.2000000000,0.0001122984
1.4500000000,-1.1500000000,0.0001142085
1.4500000000,-1.1000000000,0.0001161318
1.4500000000,-1.0500000000,0.0001180634
1.4500000000,-1.0000000000,0.0001199980
1.4500000000,-0.9500000000,0.0001219293
1.4500000000,-0.9000000000,0.0001238506
1.4500000000,-0.8500000000,0.0001257542
1.4500000000,-0.8000000000,0.0001276318
1.4500000000,-0.7500000000,0.0001294746
1.4500000000,-0.7000000000,0.0001312728
1.4500000000,-0.6500000000,0.0001330161
1.4500000000,-0.6000000000,0.0001346938
1.4500000000,-0.5500000000,0.0001362948
1.4500000000,-0.5000000000,0.0001378075
1.4500000000,-0.4500000000,0.0001392205
1.4500000000,-0.4000000000,0.0001405223
1.4500000000,-0.3500000000,0.0001417018
1.4500000000,-0.3000000000,0.0001427485
1.4500000000,-0.2500000000,0.0001436525
1.4500000000,-0.2000000000,0.0001444050
1.4500000000,-0.1500000000,0.0001449986
1.4500000000,-0.1000000000,0.0001454271
1.4500000000,-0.0500000000,0.0001456860
1.4500000000,-0.0000000000,0.0001457726
1.5000000000,-3.0000000000,0.0000651900
1.5000000000,-2.9500000000,0.0000660694
1.5000000000,-2.9000000000,0.0000669697
1.5000000000,-2.8500000000,0.0000678915
1.5000000000,-2.8000000000,0.0000688353
1.5000000000,-2.7500000000,0.0000698018
1.5000000000,-2.7000000000,0.0000707917
1.5000000000,-2.6500000000,0.0000718055
1.5000000000,-2.6000000000,0.0000728439
1.5000000000,-2.5500000000,0.0000739077
1.5000000000,-2.5000000000,0.0000749974
1.5000000000,-2.4500000000,0.0000761136
1.5000000000,-2.4000000000,0.0000772572
1.5000000000,-2.3500000000,0.0000784286
1.5000000000,-2.3000000000,0.0000796286
1.5000000000,-2.2500000000,0.0000808577
1.5000000000,-2.2000000000,0.0000821166
1.5000000000,-2.1500000000,0.0000834058
1.5000000000,-2.1000000000,0.0000847260
1.5000000000,-2.0500000000,0.0000860775
1.5000000000,-2.0000000000,0.0000874608
1.5000000000,-1.9500000000,0.0000888762
1.5000000000,-1.9000000000,0.0000903242
1.5000000000,-1.8500000000,0.0000918048
1.5000000000,-1.8000000000,0.0000933182
1.5000000000,-1.7500000000,0.0000948643
1.5000000000,-1.7000000000,0.0000964430
1.5000000000,-1.6500000000,0.0000980539
1.5000000000,-1.6000000000,0.0000996964
1.5000000000,-1.5500000000,0.0001013699
1.5000000000,-1.5000000000,0.0001030732
1.5000000000,-1.4500000000,0.0001048052
1.5000000000,-1.4000000000,0.0001065641
1.5000000000,-1.3500000000,0.0001083482
1.5000000000,-1.3000000000,0.0001101550
1.5000000000,-1.2500000000,0.0001119818
1.5000000000,-1.2000000000,0.0001138255
1.5000000000,-1.1500000000,0.0001156823
1.5000000000,-1.1000000000,0.0001175480
1.5000000000,-1.0500000000,0.0001194179
1.5000000000,-1.0000000000,0.0001212865
1.5000000000,-0.9500000000,0.0001231480
1.5000000000,-0.9000000000,0.0001249956
1.5000000000,-0.8500000000,0.0001268222
1.5000000000,-0.8000000000,0.0001286198
1.5000000000,-0.7500000000,0.0001303801
1.5000000000,-0.7000000000,0.0001320940
1.5000000000,-0.6500000000,0.0001337520
1.5000000000,-0.6000000000,0.0001353442
1.5000000000,-0.5500000000,0.0001368605
1.5000000000,-0.5000000000,0.0001382903
1.5000000000,-0.4500000000,0.0001396234
1.5000000000,-0.4000000000,0.0001408494
1.5000000000,-0.3500000000,0.0001419584
1.5000000000,-0.3000000000,0.0001429411
1.5000000000,-0.2500000000,0.0001437887
1.5000000000,-0.2000000000,0.0001444935
1.5000000000,-0.1500000000,0.0001450490
1.5000000000,-0.1000000000,0.0001454496
1.5000000000,-0.0500000000,0.0001456917
1.5000000000,-0.0000000000,0.0001457726
1.5500000000,-3.0000000000,0.0000669111
1.5500000000,-2.9500000000,0.0000678014
1.5500000000,-2.9000000000,0.0000687123
1.5500000000,-2.8500000000,0.0000696445
1.5500000000,-2.8000000000,0.0000705983
1.5500000000,-2.7500000000,0.0000715745
1.5500000000,-2.7000000000,0.0000725737
1.5500000000,-2.6500000000,0.0000735963
1.5500000000,-2.6000000000,0.0000746431
1.5500000000,-2.5500000000,0.0000757146
1.5500000000,-2.5000000000,0.0000768114
1.5500000000,-2.4500000000,0.0000779340
1.5500000000,-2.4000000000,0.0000790832
1.5500000000,-2.3500000000,0.0000802594
1.5500000000,-2.3000000000,0.0000814632
1.5500000000,-2.2500000000,0.0000826952
1.5500000000,-2.2000000000,0.0000839558
1.5500000000,-2.1500000000,0.0000852455
1.5500000000,-2.1000000000,0.0000865648
1.5500000000,-2.0500000000,0.0000879140
1.5500000000,-2.0000000000,0.0000892934
1.5500000000,-1.9500000000,0.0000907033
1.5500000000,-1.9000000000,0.0000921439
1.5500000000,-1.8500000000,0.0000936151
1.5500000000,-1.8000000000,0.0000951170
1.5500000000,-1.7500000000,0.0000966493
1.5500000000,-1.7000000000,0.0000982117
1.5500000000,-1.6500000000,0.0000998037
1.5500000000,-1.6000000000,0.0001014246
1.5500000000,-1.5500000000,0.0001030734
1.5500000000,-1.5000000000,0.0001047491
1.5500000000,-1.4500000000,0.0001064501
1.5500000000,-1.4000000000,0.0001081747
1.5500000000,-1.3500000000,0.0001099209
1.5500000000,-1.3000000000,0.0001116862
1.5500000000,-1.2500000000,0.0001134678
1.5500000000,-1.2000000000,0.0001152623
1.5500000000,-1.1500000000,0.0001170662
1.5500000000,-1.1000000000,0.0001188751
1.5500000000,-1.0500000000,0.0001206845
1.5500000000,-1.0000000000,0.0001224889
1.5500000000,-0.9500000000,0.0001242827
1.5500000000,-0.9000000000,0.0001260594
1.5500000000,-0.8500000000,0.0001278123
1.5500000000,-0.8000000000,0.0001295337
1.5500000000,-0.7500000000,0.0001312159
