fs_hz,seed,truth_deg,interp,difference_from_64_deg,oracle_error_deg
192000,29,67.37,8,-1.9808504703178187e-07,0.44055761030898566
192000,29,67.37,16,-6.4775349528645165e-09,0.44055780191652616
192000,29,67.37,32,3.492573341645766e-09,0.44055781188660603
192000,29,67.37,64,0.0,0.4405578083940327
192000,29,97.37,8,1.4889477029100817e-07,-0.17817261417491181
192000,29,97.37,16,2.4337282411579508e-08,-0.1781727387323997
192000,29,97.37,32,-3.347508936712984e-10,-0.17817276340446142
192000,29,97.37,64,0.0,-0.1781727630696821
192000,29,127.37,8,-5.773460998170776e-08,-0.4433196788099849
192000,29,127.37,16,-2.4911201990107656e-08,-0.4433196459865485
192000,29,127.37,32,7.812559488229454e-10,-0.443319620294119
192000,29,127.37,64,0.0,-0.4433196210753749
192000,29,157.37,8,5.991446982989146e-08,0.18093696296210737
192000,29,157.37,16,-1.6943943137448514e-08,0.1809368861036944
192000,29,157.37,32,-3.3896014883794123e-09,0.18093689965803605
192000,29,157.37,64,0.0,0.18093690304763754
192000,29,187.37,8,-1.9808388174169522e-07,0.44055761030881513
192000,29,187.37,16,-6.476284397649579e-09,0.4405578019164409
192000,29,187.37,32,3.492772293611779e-09,0.44055781188546916
192000,29,187.37,64,0.0,0.4405578083927253
192000,29,217.37,8,1.488940597482724e-07,-0.17817261417479813
192000,29,217.37,16,2.4336401338587166e-08,-0.17817273873242812
192000,29,217.37,32,-3.360014488862362e-10,-0.17817276340485932
192000,29,217.37,64,0.0,-0.17817276306885788
192000,29,247.37,8,-5.773370048700599e-08,-0.4433196788099849
192000,29,247.37,16,-2.491015038685873e-08,-0.4433196459864348
192000,29,247.37,32,7.826770342944656e-10,-0.4433196202936074
192000,29,247.37,64,0.0,-0.4433196210762844
192000,29,277.37,8,5.99150666857895e-08,0.18093696296250528
192000,29,277.37,16,-1.6943488390097627e-08,0.1809368861039502
192000,29,277.37,32,-3.3896299100888427e-09,0.18093689965780868
192000,29,277.37,64,0.0,0.1809369030474386
192000,29,307.37,8,-1.980844217541744e-07,0.4405576103090425
192000,29,307.37,16,-6.477137048932491e-09,0.4405578019163272
192000,29,307.37,32,3.4932554626720957e-09,0.4405578118867197
192000,29,307.37,64,0.0,0.44055780839346426
192000,29,337.37,8,1.488947134475893e-07,-0.17817261417479813
192000,29,337.37,16,2.4337055037904065e-08,-0.17817273873248496
192000,29,337.37,32,-3.3517721931275446e-10,-0.1781727634046888
192000,29,337.37,64,0.0,-0.17817276306948315
